id,homeTeam,awayTeam,spread_pick,ml_pick,ou_pick,spread_conf,ou_conf,ml_conf,predicted_margin,predicted_total
401783348,Delaware Valley,Widener,No line,No line,No line,,,0.24056296,2.4056296,49.50127
401767563,Western Carolina,East Tennessee State,No line,No line,No line,,,0.10672554,1.0672554,49.50127
401774244,Maryville College (TN),Trinity University TX,No line,No line,No line,,,0.042847157,0.42847157,49.3468
401777265,Ursinus,Carnegie Mellon,No line,No line,No line,,,0.20362854,2.0362854,49.50127
401773809,Bloomsburg,Slippery Rock,No line,No line,No line,,,0.10672554,1.0672554,49.344578
401773285,Anna Maria College,Dean College,No line,No line,No line,,,0.13829455,1.3829454,50.803226
401773275,St John Fisher University,Alfred State,No line,No line,No line,,,0.24056296,2.4056296,50.519596
401773844,Kutztown University,Indiana-Pennsylvania,No line,No line,No line,,,0.24056296,2.4056296,49.50127
401783281,West Chester,Assumption,No line,No line,No line,,,0.20362854,2.0362854,49.50127
401773833,Millersville,Edinboro University,No line,No line,No line,,,0.24056296,2.4056296,49.50127
401773695,West Liberty,Wheeling,No line,No line,No line,,,0.10672554,1.0672554,49.344578
401773724,Pace,Franklin Pierce,No line,No line,No line,,,0.24056296,2.4056296,50.803226
401773715,Bentley,American International,No line,No line,No line,,,0.13829455,1.3829454,50.803226
401767610,Marist,Davidson,No line,No line,No line,,,0.13829455,1.3829454,50.803226
401767619,Dayton,Drake,No line,No line,No line,,,0.01920576,0.1920576,48.781166
401774098,Moravian,Susquehanna,No line,No line,No line,,,0.24056296,2.4056296,49.50127
401752768,LSU,Arkansas,LSU -5.5,LSU ML (-205.0),No value,6.042880058288574,0.4446220397949219,1.154288,11.54288,57.055378
401774217,Southern Virginia,Lagrange College,No line,No line,No line,,,0.10672554,1.0672554,49.344578
401767654,Valparaiso,Stetson,No line,No line,No line,,,0.008069029,-0.080690295,48.507996
401767571,Furman,VMI,No line,No line,No line,,,0.042847157,0.42847157,49.3468
401777226,Averett,Roanoke College,No line,No line,No line,,,0.07029458,0.7029458,49.3468
401778029,Greenville,Crown College,No line,No line,No line,,,0.10672554,1.0672554,49.344578
401774226,Brevard College,North Carolina Wesleyan,No line,No line,No line,,,0.10672554,1.0672554,49.344578
401774234,Greensboro College,Methodist,No line,No line,No line,,,0.009543429,0.09543429,49.3468
401773469,Grand Valley State University,Roosevelt,No line,No line,No line,,,0.01920576,0.1920576,48.48073
401773638,Nebraska-Kearney,Central Missouri,No line,No line,No line,,,0.10672554,1.0672554,49.344578
401773943,Carson-Newman College,Greeneville,No line,No line,No line,,,0.035225403,0.35225403,49.3468
401773839,Lock Haven University,Gannon,No line,No line,No line,,,0.10672554,1.0672554,49.344578
401773330,Hillsdale,Ohio Dominican,No line,No line,No line,,,0.10672554,1.0672554,49.344578
401777018,Concordia University Chicago,Aurora,No line,No line,No line,,,0.008069029,-0.080690295,48.324036
401773818,Shippensburg,PennWest California,No line,No line,No line,,,0.10672554,1.0672554,49.344578
401774308,Husson,Maine Maritime,No line,No line,No line,,,0.13829455,1.3829454,49.32974
401767393,Jackson State,Bethune-Cookman,No line,No line,No line,,,0.20310001,2.0310001,50.47588
401777077,Denison University,John Carroll University,No line,No line,No line,,,0.008069029,-0.080690295,48.324036
401807013,Lake Forest College,Chicago,No line,No line,No line,,,0.008069029,-0.080690295,48.324036
401773750,Minnesota State Mankato,Minnesota State Moorhead,No line,No line,No line,,,0.01920576,0.1920576,48.48073
401767737,Colgate,Lehigh,No line,No line,No line,,,0.13829455,1.3829454,50.803226
401773797,Winona State,Southwest Minnesota State,No line,No line,No line,,,0.01920576,0.1920576,48.48073
401767695,Dartmouth,Cornell,No line,No line,No line,,,0.13829455,1.3829454,50.803226
401767717,Georgetown,Fordham,No line,No line,No line,,,0.10672554,1.0672554,49.50127
401773781,Concordia University St Paul,Sioux Falls,No line,No line,No line,,,0.116108894,1.161089,48.48073
401773503,Kentucky Wesleyan,Thomas More College,No line,No line,No line,,,0.042847157,0.42847157,49.3468
401767194,Maine,Rhode Island,No line,No line,No line,,,0.13829455,1.3829454,47.69341
401767326,Villanova,Stony Brook,No line,No line,No line,,,0.24056296,2.4056296,49.50127
401767187,Hampton,William & Mary,No line,No line,No line,,,0.10672554,1.0672554,49.344578
401774105,Hobart College,Buffalo State,No line,No line,No line,,,0.24056296,2.4056296,49.50127
401774357,Augustana (IL),Washington University (St. Louis),No line,No line,No line,,,0.008069029,-0.080690295,50.757095
401833536,North Greenville,UNC Pembroke,No line,No line,No line,,,0.07029458,0.7029458,49.3468
401773215,Ashland,Lake Erie,No line,No line,No line,,,0.10672554,1.0672554,49.344578
401777235,Randolph-Macon,Hampden-Sydney,No line,No line,No line,,,0.17565261,1.7565261,50.47588
401773303,Alfred University,SUNY Morrisville,No line,No line,No line,,,0.10672554,1.0672554,49.344578
401777101,Ohio Wesleyan,Oberlin,No line,No line,No line,,,0.008069029,-0.080690295,48.507996
401777138,Wittenberg,Kenyon,No line,No line,No line,,,0.008069029,-0.080690295,48.507996
401767331,UAlbany,Towson,No line,No line,No line,,,0.13829455,1.3829454,50.803226
401774319,Kean,Rowan,No line,No line,No line,,,0.24056296,2.4056296,50.519596
401788994,William Paterson,Montclair State,No line,No line,No line,,,0.24056296,2.4056296,49.50127
401833372,Albany State GA,Benedict College,No line,No line,No line,,,0.20927139,2.0927138,50.097656
401783910,Springfield,SUNY Maritime,No line,No line,No line,,,0.13829455,1.3829454,50.803226
